Membership No  Date Joined  Active  
    61683      2019-4-1     no    
    58307      2019-2-18    no    
    43175      2020-5-6     no    
    28058      2018-4-12    no    
    83303      2016-11-4    no    
    46095      2016-10-22   no    
    98758      2016-5-14    no    
    91303      2019-2-23    no    
    90687      2019-5-15    no    
    88832      2020-12-18   no    
    98758      2016-5-14    no    
    91303      2019-2-23    no    
    90687      2019-5-15    no    
    88832      2020-12-18   no    
    91303      2019-2-23    no    
    90687      2019-5-15    no    
    88832      2020-12-18   no    
