Membership No  Date Joined  Active  
    25516      2017-2-7     yes   
    95705      2015-12-17   yes   
    56610      2019-9-5     yes   
    21566      2018-5-10    yes   
    50636      2015-3-2     yes   
    98625      2019-5-2     yes   
    31777      2015-10-19   yes   
    65940      2015-11-4    yes   
    23215      2017-6-1     yes   
    26778      2015-12-9    yes   
    32377      2017-3-18    yes   
    47964      2016-7-25    yes   
    13403      2019-11-15   yes   
    32377      2017-3-18    yes   
    47964      2016-7-25    yes   
    13403      2019-11-15   yes   
    13403      2019-11-15   yes   
